# 
# simt, id, lat, lon, alt, tas, vs
0.00000000,PI30R0,32.89472323,-96.45892600,0.00000000,3.00000000,0.00000000
1.00000000,PI30R0,32.89475075,-96.45895143,0.80010000,5.07500000,1.52400000
2.00000000,PI30R0,32.89475696,-96.45902395,3.12420000,8.57500000,3.04800000
3.00000000,PI30R0,32.89472718,-96.45912946,7.61861000,12.07500000,5.00000000
3.00000000,PI30L0,32.77174989,-96.83679052,0.25146000,4.17500000,0.83820000
4.00000000,PI30R0,32.89468249,-96.45926856,12.61861000,15.44248319,5.00000000
4.00000000,PI30L0,32.77177305,-96.83684719,1.88976000,7.67500000,2.36220000
4.00000000,PI35L0,33.18704565,-97.12696362,0.01143000,3.27500000,0.15240000
5.00000000,PI30R0,32.89463286,-96.45942306,17.61861000,15.44618967,5.00000000
5.00000000,PI30L0,32.77177468,-96.83694882,5.36861000,11.17500000,5.00000000
5.00000000,PI35L0,33.18707998,-97.12692939,0.96393000,6.77500000,1.67640000
5.00000000,PBUSR0,32.98689267,-96.93856568,0.45720000,4.57500000,1.14300000
6.00000000,PI30R0,32.89458321,-96.45957759,22.61861000,15.44989746,5.00000000
6.00000000,PI30L0,32.77177432,-96.83708800,10.36861000,14.67500000,5.00000000
6.00000000,PI35L0,33.18709985,-97.12684089,3.44043000,10.27500000,3.20040000
6.00000000,PBUSR0,32.98690882,-96.93850095,2.40030000,8.07500000,2.66700000
7.00000000,PI30R0,32.89453356,-96.45973216,27.61861000,15.45360655,5.00000000
7.00000000,PI30L0,32.77177390,-96.83725246,15.36861000,15.44452159,5.00000000
7.00000000,PI35L0,33.18708394,-97.12671280,8.11861000,13.77500000,5.00000000
7.00000000,PBUSR0,32.98688883,-96.93839819,6.36861000,11.57500000,5.00000000
8.00000000,PI30R0,32.89448389,-96.45988676,32.61861000,15.45731695,5.00000000
8.00000000,PI30L0,32.77177347,-96.83741767,20.36861000,15.44822879,5.00000000
8.00000000,PI35L0,33.18702474,-97.12656752,13.11861000,15.44285378,5.00000000
8.00000000,PBUSR0,32.98684241,-96.93826546,11.36861000,15.07500000,5.00000000
9.00000000,PI30R0,32.89443421,-96.46004141,37.61861000,15.46102866,5.00000000
9.00000000,PI30L0,32.77177304,-96.83758292,25.36861000,15.45193730,5.00000000
9.00000000,PI35L0,33.18693253,-97.12644411,18.11861000,15.44656039,5.00000000
9.00000000,PBUSR0,32.98678898,-96.93811275,16.36861000,15.44526293,5.00000000
9.00000000,PBUSL0,32.84909472,-96.56115349,0.20260600,4.77500000,0.23836723
9.00000000,PH12L0,32.78787029,-96.69015771,0.55638400,4.67500000,0.69548575
10.00000000,PI30R0,32.89438452,-96.46019609,42.61861000,15.46474168,5.00000000
10.00000000,PI30L0,32.77177262,-96.83774821,30.36861000,15.45564711,5.00000000
